Territory,Business,Region,Region_Code,Store_Code,Store_Name,Mall_Name,Store_Format,Sales_Per_Day,Store_Launch_Date,Train_Test_Store,Geo_Field,Store_Size_Sq_Ft,Customer_Count,Total_Revenue
United Arab Emirates,Max,MX - Abu Dhabi,602,60077,Max Zayed City Mall,City Mall - Abu Dhabi-Uae,, 544.1 ,02-11-2011,Train,"25.618167, 53.441646"," 4,852.2 "," 22,237.0 "," 1,13,16,756.9 "
United Arab Emirates,Max,MX - Sharjah,606,60073,Max Safeer Mall,Safeer Mall Sharjah-Uae,," 1,251.7 ",21-08-2009,Train,"25.309997, 55.378550"," 13,789.9 "," 88,372.0 "," 2,60,34,456.2 "
United Arab Emirates,Max,MX - Dubai,601,60065,Max Gardens,Ibn Battuta Mall-Uae,," 3,319.9 ",15-04-2005,Train,"25.044684, 55.120275"," 15,609.7 "," 1,88,836.0 "," 6,90,53,622.6 "
United Arab Emirates,Max,MX - Dubai,601,60219,MX -Dubai Festival City,Dubai Festival City-Uae,Stand Alone Stores," 1,211.5 ",12-06-2014,Train,"25.218486, 55.359313"," 6,845.5 "," 96,733.0 "," 2,51,98,727.0 "
United Arab Emirates,Max,MX - Ras Al Khaimah,605,60071,Max Rak,STANDALONE,," 2,221.9 ",20-03-2006,Train,," 12,385.0 "," 70,456.0 "," 4,62,14,955.8 "
United Arab Emirates,Max,MX - Fujairah,604,60063,Max Fujairah,STANDALONE,," 2,943.6 ",24-07-2009,Train,," 4,579.1 "," 82,294.0 "," 6,12,25,958.6 "
United Arab Emirates,Max,MX - Sharjah,606,60075,Max Sharjah Qassimia,STANDALONE,," 2,268.2 ",11-02-2011,Train,," 9,582.4 "," 1,13,795.0 "," 4,71,79,052.6 "
United Arab Emirates,Max,MX - Ajman,603,60055,Max Ajman,Nk Mall Ajman-UAE,," 2,036.0 ",04-09-2008,Train,," 10,085.5 "," 78,460.0 "," 4,23,49,052.1 "
United Arab Emirates,Max,MX - Dubai,601,60066,Max Madina - Qusais,Madina Mall-Uae,," 1,331.4 ",28-05-2012,Train,"25.282082, 55.397985"," 15,897.1 "," 79,249.0 "," 2,76,93,164.7 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60067,Max Marina Mall,Abudhabi Marina Mall-Uae,," 1,699.6 ",14-12-2011,Train,"24.476186, 54.321439"," 8,673.5 "," 89,351.0 "," 3,53,50,868.4 "
United Arab Emirates,Max,MX - Dubai,601,60241,MX - Sindagha-Burdubai,Shindaga Mall-Uae,Mall Stores, 369.3 ,15-09-2015,Train,"25.264114, 55.286850"," 2,708.8 "," 67,296.0 "," 76,81,839.4 "
United Arab Emirates,Max,MX - Dubai,601,60070,Max Oasis,Oasis Centre-Uae,," 3,330.7 ",29-03-2009,Train,"25.191518, 55.243562"," 19,003.7 "," 1,34,430.0 "," 6,92,78,471.0 "
United Arab Emirates,Max,MX - Dubai,601,60062,Max Dubai Mall,Dubai Mall-Uae,, 759.1 ,01-03-2012,Train,"25.169843, 55.241679"," 6,093.5 "," 88,496.0 "," 1,57,89,190.9 "
United Arab Emirates,Max,MX - Ras Al Khaimah,605,60072,Max Rak-Safeer,Safeer Mall - Rakuae-Uae,," 1,975.0 ",14-01-2010,Train,"25.749031, 55.925038"," 4,189.7 "," 63,174.0 "," 4,10,79,234.3 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60058,Max Bawabat Al Sharq,Bawabat Al Sharq Malluae-Uae,," 1,965.5 ",08-12-2011,Train,"24.312255, 54.619651"," 8,792.3 "," 80,204.0 "," 4,08,82,879.5 "
United Arab Emirates,Max,MX - Sharjah,606,60074,Max Sharjah,STANDALONE,," 2,631.1 ",21-07-2004,Train,," 3,467.8 "," 1,37,253.0 "," 5,47,27,698.2 "
United Arab Emirates,Max,MX - Fujairah,604,60064,Max Fujairah City Centre,Fujairah City Centre-Uae,," 1,938.6 ",04-04-2012,Train,"25.125995, 56.302260"," 8,162.0 "," 80,632.0 "," 4,03,23,186.7 "
United Arab Emirates,Max,MX - Sharjah,606,60076,Max Shj City Centre,Sharjah City Centre-Uae,," 2,266.0 ",23-03-2012,Train,"25.325119, 55.393559"," 93,125.2 "," 1,65,012.0 "," 4,71,32,091.0 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60069,Max Mushrif Mall,Mushrif Mall Abudhabi-Uae,," 1,813.1 ",30-07-2011,Train,"24.434721, 54.412599"," 6,698.1 "," 1,14,246.0 "," 3,77,12,369.7 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60079,Max Abudhabi Deerfields,Deerfields Mall-Uae,Stand Alone Stores," 1,193.1 ",23-11-2013,Train,"24.321044, 54.480138"," 3,699.5 "," 54,832.0 "," 2,48,16,886.2 "
United Arab Emirates,Max,MX - Dubai,601,60059,Max Bur Dubai,STANDALONE,," 2,053.0 ",22-11-2004,Train,," 9,655.0 "," 1,40,183.0 "," 4,27,03,131.5 "
United Arab Emirates,Max,MX - Dubai,601,60086,Max - Al Ghurair - New Store,Al Ghurair City-Uae,Mall Stores," 2,537.8 ",01-10-2013,Train,"24.322808, 54.480221"," 12,950.6 "," 1,92,764.0 "," 5,27,86,658.0 "
United Arab Emirates,Max,MX - Dubai,601,60060,Max Deira,STANDALONE,," 2,166.1 ",08-09-2004,Train,," 8,317.7 "," 84,415.0 "," 4,50,55,451.5 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60233,MX -Yas Mall,Yas Mall-Uae,Mall Stores," 1,045.8 ",25-11-2014,Train,"24.322808, 54.480221"," 16,455.4 "," 75,505.0 "," 2,17,52,218.8 "
United Arab Emirates,Max,MX - Dubai,601,60068,Max Mirdiff,Mirdif City Centre-Uae,," 4,462.4 ",16-03-2010,Train,"25.216552, 55.407763"," 23,368.7 "," 2,31,790.0 "," 9,28,17,074.1 "
United Arab Emirates,Max,MX - Dubai,601,60250,MX - Meisam City Centre,Meaisem City Centre-Uae,Mall Stores, 773.9 ,01-09-2015,Train,"25.039951, 55.198099"," 7,846.7 "," 45,197.0 "," 1,60,98,073.5 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60057,Max Alain,Bawadi Mall-UAE,," 3,090.5 ",02-04-2009,Train,"24.170905, 55.808654"," 18,277.8 "," 1,19,643.0 "," 6,42,83,279.9 "
United Arab Emirates,Max,MX - Dubai,601,60061,Max Deira City Centre,Deira City Centre-UAE,," 3,774.6 ",12-06-2012,Train,"25.255088, 55.330340"," 22,866.9 "," 2,63,026.0 "," 7,85,12,472.4 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60053,Max Abudhabi,STANDALONE,," 3,094.4 ",16-05-2004,Train,," 19,200.1 "," 1,60,218.0 "," 6,43,64,029.5 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60054,Max Abudhabi Dalma Mall,Dalma Mall Abu Dhabi-Uae,," 2,101.1 ",23-11-2011,Train,"24.333514, 54.523955"," 12,425.5 "," 1,18,444.0 "," 4,37,02,303.0 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60275,Max Makhani Zakher,Abu Dhabi Co-Op Mall-UAE,, 498.2 ,20-03-2017,Train,"24.503005, 54.382945"," 2,178.4 "," 13,669.0 "," 52,71,266.8 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60301,MAX- Abudhabi Al Wahda,AL Wahda,Mall Stores," 10,861.0 ",30-01-2018,Test,"24.470587, 54.372679"," 23,288.3 ",," 74,72,374.6 "
United Arab Emirates,Max,MX - Sharjah,606,60298,MAX - Matejer Al Juraina,Matejer Al Juraina,Mall Stores," 4,099.5 ",07-01-2018,Test,"25.296484, 55.489202"," 8,391.6 ",," 28,20,485.9 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60300,MAX-WTC,WTC,Mall Stores," 7,036.2 ",01-02-2018,Test,"24.487658, 54.357529"," 6,604.8 ",," 27,01,913.6 "
United Arab Emirates,Max,MX - Abu Dhabi,602,60299,MAX-Alain Mall,Alain Mall,Mall Stores," 5,157.8 ",01-02-2018,Test,"24.222016, 55.781629"," 3,266.4 ",," 4,79,677.8 "
